footnote,discription,name
(1) در این حدیث اشاره‌ای که به پرهیز کاران شده است از این جهت است که هر خویشاوندی و نسبی که بر اساس تقوا باشد در حکم نسب و سبب پیامبر صلی الله علیه و آله است زیرا تبعیت از پیامبر صلی الله علیه و آله نموده و در حکم خویشاوند او است چنانکه خود در باره سلمان فارسی فرمود: (اسلمان منا اهل البیت) سلمان چون عملا و ایمانا پیامبر صلی اله علیه و آله او را خویشاوند خود و از خود دانسته است و سلمان در این حدیث الگو و نمونه خویشاوند غیر نسبی است که در حکم خویشاوند سببی معرفی شده است و تمام کسانیکه در راه سلمان و در نتیجه با پرهیز کاران و با ایمانی واقعی پیرو پیامبر صلی الله علیه و آله باشند مشمول حدیث پیامبر صلی الله علیه و آله بوده و سببیت او منقطع نیست با توجه به همین معناست که در پایان حدیث از متقین دعوت و پرسش کرده است کنایه از اینکه تقوا پیشه کنید تا از پیامبر صلی الله علیه و آله و خاندان او باشید. ترجمه مفردات، ج1، ص: 141 خداوند در داستان یعقوب می‌فرماید: (مَا تَعْبُدُونَ مِن بَعْدِي قَالُوا نَعْبُدُ إِلَٰهَكَ وَإِلَٰهَ آبَائِكَ إِبْرَاهِيمَ وَإِسْمَاعِيلَ وَإِسْحَاقَ إِلَٰهًا وَاحِدًا - بقره / 133) (یعقوب از پسرانش سؤال میکند پس از من چه چیزی را پرستش خواهید کرد؟ میگویند: پروردگارت و پروردگار پدرانت ابراهیم و اسماعیلو اسحاق که خدای واحد است عبادت خواهیم کرد). و حال اینکه اسماعیل عموی ایشان بود نه پدرشان، اما او را هم در ردیف پدر خطاب کردند. معلم و استاد را نیز پدر گویند چنانکه قبلا در باره پدر معنوی گفته شد و در این معنی آیه (وَجَدْنَا آبَاءَنَا عَلَىٰ أُمَّةٍ - زخرف / 22) را بر آن معنی حمل کرده اند یعنی علمائی که ما را با دانشها تربیت کردند. به دلیل سخن خدای تعالی که (رَبَّنَا إِنَّا أَطَعْنَا سَادَتَنَا وَكُبَرَاءَنَا فَأَضَلُّونَا السَّبِيلَا - احزاب / 67). و در همان معنی یه ( أَنِ اشْكُرْ لِي وَلِوَالِدَيْكَ - لقمان / 14) که هم در باره پدر و هم در باره معلمی اس که او را تعلیم داده است. اما آیه (مَّا كَانَ مُحَمَّدٌ أَبَا أَحَدٍ مِّن رِّجَالِكُمْ - احزاب / 40) که نفی ولادت مردم از پیامبر نموده است برای این است که فرزند خوانده شدن و در ردیف فرزندان کسی قرار گرفتن از جهت راهنمائی و سرپرستی، غیر از فرزند نسبی و حقیقی است که از طریق همسری بوجود می آید. جمع (أب) و أبوّت است مانند (بعوله و خووله) (همسران و دائیها و خاله ها). اص کلمه (أب ) بر وزن (فعل) یعنی (أب ب) است مانند (قفا) چنانکه در سخن این ساعر بکار رفته است: إن أباها و أبا  أباها و گفته اند که عبارت - أبوت القوم- یعنی برای ایشان پدر بودم. و فعل (یأبو) که اس اسم (أب) ساخته شده است در عبارت زیر معنی تفقّد و رسیدگی و سرپرستی است چنانکه می گویند: فلان یأبو بهمه - یعنی عمانند پدر از حالشان تفقّد و (آباء) سرپرستی میکند و مشکلاتشان را برطرف می سازد. در حالت نداء حرف (تاء) به (أب) اضافه میشود و میگویند (یا أبت). عبارت -بأبأ الصّبیّ- همان بابا گفتن کودک است. در تمام زبانهای دنیا لغات اولیه بشری در مفهوم مشترکا بکار می رود چنانکه نام خدا در تمام زبانهای دنیا و در فرهنگشان وجود دارد. الله (سامی) خدا (فارسی) خوتا (فارسی باستانی) خوآ (کردی) گاد (انگلیسی) باری (ترکی) ییبو (روسی) یهوه (یهودی) پدر (مسیحی) توتم (بومی) زئوس (یونانی) نیرو آنا (سانسکریت و هندو) که نام خدا چون زبان فطری همه انسانها است همراه نخستین کلمات یعنی بابا و ماما و آب تاریخچه شان همسان است.,پدر و والد، و هر کسیکه سبب پیدایش، اصلاح یا پیرایش و ظهور چیزی شود آنرا (أب) گویند. از این جهت پیامبر صلی الله علیه و آله وسلم پدر مؤمنین نامیده شده چنانکه خدای تعالی فرموده است (النَّبِيُّ أَوْلَىٰ بِالْمُؤْمِنِينَ مِنْ أَنفُسِهِمْ ۖ وَأَزْوَاجُهُ أُمَّهَاتُهُمْ - احزاب / 6). و در بعضی قرائتها گفته شده که (و هو أب لهم). در روایت چنین آمده که پیامبر اکرم صلی الله علیه و آله وسلم به علی علیه السلام فرمود: (أنا و أنت أبواء هذه الامّه). این سخن اشاره است به این که فرموده ( کل سبب و نسب منقطع یوم القیامه الّا سببی و نسبی فأین المتّقون). (1) أبو الأضیاف: مهاندار و میزبان که بنام پدر مهمانان بیان شده است برای اینکه همچون پدر رسیدگی و سرپرستی می‌کند. أبو الحرب: به کسی گفته میشود که سربازان را به مبارزه ترغیب مینماید. أبو عذرتها: همسر نخستین زن است، عمو با پدر، مادر با پدر و جدّ را هم در حالات جمع ابوین گویند.,أبا
n/a,الإباء یعنی خودداری کردن و به شدّت باز پس ایستادن، هر إبائی بمعنی امتناع است امّا هر إمتناعی إباء نیست. آیات زیر در همین معنی است. (یَأْبَی اللَّهُ إِلَّا أَنْ یُتِمَّ نُورَهُ- 32/ توبه) و (وَ تَأْبی قُلُوبُهُمْ- 8/ توبه) و (أَبی وَ اسْتَکْبَرَ- 34/ بقره) و (إِلَّا إِبْلِیسَ أَبی 31/ حجر) (مگر ابلیس که خوداری کرد و باز ایستاد). و همچنین در این حدیث که روایت شده «کلّهم فی الجنّه إلّا من أبی» در همین معنی است. و عبارت- رجل أبیّ- او کسی است که زیر بار ظلم نمی رود، و از تحمّل ظلم و ستم امتناع می ورزد. و- أبیت الضّیر- ضرر و زیان را دور کردی. و- تیس أبیّ- و- عنز أبواء- یعنی بز کوهی بر مادّه بزی که از خوردن آب آلوده به بول آهوان خودداری می کند نوعی بیماری است که او را از خوردن آب دور می سازد.,أَبی
(1) کلمه إبان که ظرف زمان است در زبان عربی معاصر نیز بکار می رود مانند ابان قیامه و ابّان ذهابه یعنی هنگام قیام و زمان رفتنش. [...],خدای تعالی در این آیه فرموده (وَ فاکِهَهً وَ أَبًّا- 31/ عبس) یعنی میوه و علفی که برای درو کردن و چراندن حیوانات آماده می شود. می گویند- أبّ لکذا- علوفه را آماده کرد که از فعل- أبّا و إبانه و إبابا ساخته شده. و اصطلاح ابّ إلی وطنه- در زمانی بکار می رود که کسی برای وطنش- مشتاق می شود و برای رفتن به سویش آماده، و- أبّ لسیفه- شمشیرش را برای کشیدن از غلاف آماده کرده و- إبّان «1»- بر وزن فعلان اسم زمان است یعنی زمان آماده شدن و آمدن.,أب
(1) در عرف ادبیّات عرب مانند ادبیات معاصر فارسی مولدّین یعنی نو پردازان کسانی بودند و هستند که در اصول و قواعد و اساس زبان و ادبیّات تصرّف کرده و یا بخاطر مشکل بودن فراگیری قواعد و اوزان شعری و یا از روی روشنفکر نمایی چنان شیوه های عامیانه را وضع کرده اند. (2) معنی زیبای أوابد را در شعر امرؤ القیس که سر آمد شعرای قبل از اسلام است می یابیم که به معنی حیوان وحشی و تندرو و گریز پای بکار برده است و اسب خود را در دویدن و سرعت گیرنده أوابد (وحشیان) می داند. می گوید: و قد اغتدی و الطّیر فی وکناتها بمنجرد قید الا و ابد هیکل یعنی: صبحگاهان در حالیکه پرندگان هنوز در آشیانه هاشان بودند، با مرکبی تندرو که وحشیان را می گرفت حرکت کردم.,(پیوسته جاودان) خدای متعال می فرماید: (خالِدِینَ فِیها أَبَداً- 57/ نساء). کلمه أبد، زمانی است پیوسته و غیر گسسته بر خلاف واژه زمان که پیوسته نیست چنانچه می گویند زمان آن کار- و نمی گویند- أبد آن کار- حقّ این است که (أبد) زمانی است که تثنیه و جمع ندارد، زیرا تصوّر ابدی دیگر که به أبد اوّل پیوسته باشد درست نیست. و گفته اند که (أبد) را به صورت (آباد) جمع بسته اند و این ویژگیها برای اسم جنس است که در بعضی اوقات جمع بسته می شود. از این روی گروهی معتقدند که جمع أبد بصورت آباد از مولّدین «1» یعنی اعراب نو خاسته و نو پرداز است که در زبان عرب اصیل نیست. گفته شده- أبد، أبد و أبید- یعنی پیوسته و دائم که برای تأکید به کار می رود. تأبّد الشّی ء: آن چیز پایدار شد و باقی ماند، و در مورد چیزی بکار می رود که مدّت درازی باقی بماند، و عبارت- الآبده البقره الوحشیّه و الأوابد الوحشیّات و تأبّد البعیر- یعنی گاوان وحشی دیر پای و سریع السّیر و گریز پای. تأبّد البعیر- آن شتر هم وحشی شد و به صورت أوابد «2»- یعنی وحوش، درآمد، و- أبد- به غضب هم تفسیر شده است.,أبد
n/a,خدای تعالی فرموده است (إِذْ أَبَقَ إِلَی الْفُلْکِ الْمَشْحُونِ - 14/ صافات) (یعنی زمانی که به طرف کشتی پر از متاع گریختند). عبارت- أبق العبد، یأبق إباقا و أبق یأبق- در زمان گریختن و فرار کردن بکار می رود و- عبد آبق- بنده گریز پا است و جمعش أبّاق. تأبّق الرجل: خود را پنهان کرد، که به گریختن تشبیه شده است. و امّا سخن این شاعر که می گوید: قد احکمت حکمات القّدّ و الأبقا (لجام و دهانه و افسارهای چرمین و موئین او محکم شده است) گفته شده الأبق- در این شعر بمعنی طناب محکم بافته شده است.,أبق
n/a,به گفته خدای تعالی (وَ مِنَ الْإِبِلِ اثْنَیْنِ- 142/ انعام). واژه ابل برای شتران زیاد بکار می رود، واحد و مفرد ندارد یعنی از دو به بالا است. و آیه (أَ فَلا یَنْظُرُونَ إِلَی الْإِبِلِ کَیْفَ خُلِقَتْ- 17/ غاشیه) که گفته اند منظور از إبل، ابرهاست هر چند که این تعبیر درست نیست امّا از نظر تشبیه نمودن حرکت و جابجائی أبرها و شتران که پیوسته جابجا می شوند و قطار شتران از دور مانند سیاهی ابر است ممکن است درست باشد. از واژه إبل فعل- أبل، یأبل، أبولا و أبل، أبلا- که در جمله- أبل الوحشیّ- و مشابه این جملات بار می رود ساخته شده که حیوان وحشی به خاطر طاقت و پایداری در نخوردن آب به شتر تشبیه شده است، یعنی در پایداری و صبر کردن بر آب مانند شتران است. تأبّل الرّجل عن امرأته: در دوری کردن مرد از همسرش بکار می رود. أبل الرّجل- شترانش زیاد شد. و- فلان لا یأبل- او در سواری بر شتر چالاک و ثابت نیست- رجل آبل و أبل- آنمرد شترانش را خوب رسیدگی می کند. إبل مؤبّله- گلّه های شتران و- الإباله- کومه های هیزم که به کوهان شتران تشبیه شده است. سخن خدای تعالی در این آیه (وَ أَرْسَلَ عَلَیْهِمْ طَیْراً (أَبابِیلَ)- 2/ فیل) یعنی پرندگان متفرق مانند قطار شتران. مفرد أبابیل (أبیل) است.,ابل
(1) آیه مبارکه آتُونِی زُبَرَ الْحَدِیدِ- 96/ کهف) را با آیات قبل از آن بایستی در نظر گرفت تا معنیش روشن شود، ذو القرنین برای بستن سدّ نخست به مردمی که در آن ناحیه زندگی می کردند و پیشنهاد کردند ما کمک مالی می کنیم تا سدّ را ببندی او می گوید نیازی بکمک مالی شما نیست که خداوند مرا از مال بی نیاز کرده است، شما با نیروهای بدنیتان بیائید و کمک و همراهی کنید، سپس آیه فوق ذکر می شود که به معنی آوردن تکّه های آهن است و به صورت ظاهر با آیه قبل که می گوید فَأَعِینُونِی بِقُوَّهٍ) یعنی با نیروهاتان مرا یاری کنید منافات دارد، امّا به گفته راغب و حمزه معنیش رساندن و آوردن است نه دادن و خرج کردن یا تحمّل هزینه مالی چون با نیروی بدنی و وسایل کمک کردن غیر از پرداختن و دادن و خرج کردن است. (2) آیه 229/ بقره که در بالا اشاره شده است حاوی نکاتی انسانی و جاودانه، از آئین نجات بخش و همسان کننده حقوقی در برابر وظیفه زنان با مردان که اسلام به حمایت از آنان برخاسته و در زمان جاهلی که کمترین ارزشی برای زنان قائل نبودند حقوقشان را و مقامشان را اینچنین ارزش می نهد و می فرماید (حلال نیست بر شما آنچه را که به همسرانتان در طول زندگی داده اید بستانید و حتّی در جای دیگر می فرماید جز بنیکی با آنان رفتار نکنید وَ عاشِرُوهُنَّ بِالْمَعْرُوفِ- 19/ نساء) دنیای امروز بایستی عبرت گیرد که زنان را استثمار و آنان را وسیله تبلیغ و تفریح قرار می دهد.,الإتیان: به آسانی آمدن، و به سیلاب ریزان می گوید: أتیّ و أتاویّ، مرد غریب را هم به جهت همین شباهت معنی (أتاویّ) گویند که دائما در حرکت است و جائی برای اسکان ندارد. در مورد آمدن و وارد شدن شخص برای کار و تدبیر امور و همچنین در مورد آمدن برای انجام کار خیر و شرّ و همچنین در أعیان و أعراض «1» اتیان بکار می رود خدای تعالی فرموده است (إِنْ أَتاکُمْ عَذابُ اللَّهِ أَوْ أَتَتْکُمُ السَّاعَهُ- 40/ أنعام) و آیه (أَتی أَمْرُ اللَّهِ 1/ نحل) (فَأَتَی اللَّهُ بُنْیانَهُمْ مِنَ الْقَواعِدِ- 26/ نحل) تماما در معنی أمر و تدبیر است که خداوند تدبیر امور می کند مانند آیه (جاءَ رَبُّکَ- 22/ فجر) که همان تدبیر امور است (پس آمدن یا- إتیان- و مجئ- در آیات فوق، و آیات مشابه آنها انجام دادن و پرداختن به امر است) مانند این شعر شاعر که می گوید: أتیت المرؤه من بابها (جوانمردی را از راه و طریق خودش انجام دادی. (و به اصطلاح معروف فارسی از در وارد شدی که کنایه از درست انجام داده کار است). و آیه (فَلَنَأْتِیَنَّهُمْ بِجُنُودٍ لا قِبَلَ لَهُمْ بِها- 37/ النّمل) و (لا یَأْتُونَ الصَّلاهَ إِلَّا وَ هُمْ کُسالی وَ لا یُنْفِقُونَ إِلَّا وَ هُمْ کارِهُونَ- 54/ توبه) در این آیه پرداختن به نماز در حالی که دقّت و توجّه ندارد و کسالت دارند، اشاره شده است. و در آیه (یَأْتِینَ الْفاحِشَهَ- 15/ نساء) که در قرائت عبد اللّه- یأتی الفاحشه- است به معنی پرداختن بکار نارواست به کار بردن واژه إتیان مانند به کار بردن واژه (مجئ) به معنی دست زدن بکار و تدبیر است چنانکه در آیه زیر می فرماید: (لَقَدْ جِئْتِ شَیْئاً فَرِیًّا- 27/ مریم) (به کار عجیبی دست زده ای و به کار ناروائی پرداخته ای). گفته اند- أتوته و أتیته و أتوّه مصدر به جای فاعل به کار می رود، چنانکه برای داروئی یا شیری که با حرکت شدید در ظرفی، کره یا کف بر رویش بیاید- أتوّه- بکار می برند که در حقیقت لازمه حرکت شیر در ظرف، همان آمدن کرده بر روی آن است و مصدر به جای فاعل بکار رفته. به زمینی هم که محصول فراوان دارد می گویند: هذه أرض کثیره الإتاء و واژه- إتاء- که به معنی آمدن است، در اینجا بجای- ریع- که زیادی و فراوانی است استعمال شده یعنی از آن زمین محصول زیادی بدست می آید و پر بار است. و ( (مَأْتِیًّا)- 61/ مریم) اسم مفعول از- أتینه- است. عدّه ای گفته اند معنایش- آتیا- است که اسم فاعل است، البته این معنی درست نیست بلکه گفته شده است که- أتیت الأمرو أتانی الامرو أتیته بکذا و آتیته کذا- مثل آیاتی است که خدای فرموده (وَ أُتُوا بِهِ مُتَشابِهاً- 25/ بقره) و (فَلَنَأْتِیَنَّهُمْ بِجُنُودٍ لا قِبَلَ لَهُمْ بِها- 37/ نمل) و (وَ آتَیْناهُمْ مُلْکاً عَظِیماً- 54/ نساء) هر کجا در قرآن در وصف کتاب، آتینا- به کار رفته فصیحتر و بلیغ تر است زیرا أوتوا- در جائی بکار می رود که پذیرش و قبول طرف مقابل را نمی رساند. امّا- آتینا- شایستگی و حالت پذیرش طرف مقابل را در بر دارد. آیه ( (آتُونِی) زُبَرَ الْحَدِیدِ- 96/ کهف) «1» در قرائت حمزه- جیئونی بزبر الحدید تعبیر و خوانده شده یعنی قطعات آهن را برایم بیاورید که حرف (ب) در آیه فوق حذف شده است، و به معنی آوردن قطعات آهن و کمک بدنی رساندن برای سدّ ذو القرنین. است نه به معنی دادن و پرداخت کردن کمک مالی.- ائتونی- از إتئان است نه از- إیتاء و إعطاء (إیتاء) و إعطاء یعنی بخشیدن، بیک معنی است، صدقه دادن در قرآن بالفظ ایتاء مخصوص شده است در آیات (أَقامُوا الصَّلاهَ وَ آتَوُا الزَّکاهَ- 277/ بقره) و (إِقامَ الصَّلاهِ و إِیتاءَ الزَّکاهِ- 73/ انبیاء) و وَ لا یَحِلُّ لَکُمْ أَنْ تَأْخُذُوا مِمَّا آتَیْتُمُوهُنَّ شَیْئاً- 229/ بقره) «2» و وَ لَمْ یُؤْتَ سَعَهً مِنَ الْمالِ- 247/ بقره) در همه آیات از مصدر إیتاء- یعنی دادن، فعل‌هائی بکار رفته است.,أتی
n/a,أثاث و لوازم زیاد منزل، که اصلش از أثّ است یعنی فراوان شده، به تمام اموالی هم که متراکم و انباشته شده است أثاث گویند، کلمه أثاث مفرد ندارد مثل متاع و ابزار. اصطلاح- نساء أثائث- یعنی زنان فربه و چاق که گوئی اثاثی بر دوش دارند و عبارت- تأثّث فلان- یعنی به اموال و اثاث زیادی رسید.,أث
(1) ابو الحسن علیّ بن مبارک لحیانی دانشمند نحوی و لغوی از شاگردان کسائیست که به غلام کسائی هم موصوف است، قاسم بن سلام از شاگردان اوست و کتاب (النّوادر) از تألیفات او، متوفّی در قرن سوّم هجری قمری است.,اثر هر شی ء حاصل کردن و دریافتن چیزی است که ما را بوجود آنچیز دلالت و راهنمائی می کند.- أثر و أثّر- هر دو درست است. جمع أثر آثار است. خدای تعالی فرموده ثُمَّ قَفَّیْنا عَلی آثارِهِمْ بِرُسُلِنا- 27/ حدید) و آیه آثاراً فِی الْأَرْضِ- 82/ غافر) و فَانْظُرْ إِلی آثارِ رَحْمَتِ اللَّهِ- 50/ روم) با توجّه به این معنی به راهی هم که بسوی آثار گذشتگان و به یک راه و روش هدایت می کند آثار گویند مانند سخن خدای تعالی فَهُمْ عَلی آثارِهِمْ یُهْرَعُونَ- 70/ صافّات). و آیه هُمْ أُولاءِ عَلی أَثَرِی- 84/ طه). (که در همه آیات فوق آثار مادّی و معنوی و تاریخی و آفرینش منظور نظر است). عبارت- سمنت الإبل- یعنی شتران را اثری و نشانه ای از فربهی است. و- أثرت البعیر- در کف پای شتران اثری نهادم که در راه رفتن آن اثر، رفتن و بودن آنها را در آن مکان نشان می دهد. بنابر این به آهنی که با آن کف پای شتران را داغ می کنند- مئثره- گویند و اصطلاح- أثر السّیف نشانه ای از خوبی و جوهر و جلای شمشیر است. چنانچه گویند:- سیف مأثور- و همینطور- أثرت العلم- یعنی آن علم را روایت کردم. - آثره أثرا و (إثاره) و أثره- اثرش را دنبال کردم، و عبارت- أثاره من علم- که- أثره- هم خوانده شده، چیزی است که روایت یا بازگو و یا نوشته می شود و از آن اثری باقی می ماند- (المآثر)- هم چیزی است از مکارم و بزرگواری انسان که بازگو و روایت می شود، کلمه الأثر بطور استعاره برای فضل، و بزرگی و ایثار و از خود گذشتگی است و- آثرته- نیز به همان معنا است چنانکه در آیات زیر: (وَ یُؤْثِرُونَ عَلی أَنْفُسِهِمْ- 9/ حشر) و (تَاللَّهِ لَقَدْ آثَرَکَ اللَّهُ عَلَیْنا 91/ یوسف) و (بَلْ تُؤْثِرُونَ الْحَیاهَ الدُّنْیا- 16/ اعلی) و در حدیث «سیکون بعدی أثره» یعنی پس از مرگ من بعضی از شما خود را بر دیگری مقدّم خواهد داشت. (الإستئثار:) چیزی را مخصوص به خود دانستن و دیگری را از آن بی بهره کردن. أستأثر اللّه بفلان- کنایه از مرگ اوست که در حقیقت یک نوع برگزیدگی و شرافت است که خدای تعالی او را بر می گزیند و به سوی خود می خواند. - رجل أثر- او نیکی را بر یاران خویش ترجیح می دهد. لحیانی «1» می گوید: اصطلاحات آثرامّا- و- أثرامّا و- آثر- یعنی ذی أثیر- و به یک معنی است.,أثر
(1) خمط درخت بدون خار، هر میوه تلخ، و تلخی هر چیز است، سدر- جمعش سدور، درختی است که میوه آنرا بنق و کنّار گویند مانند نخل بلند است. أثل، درختی است با چوب محکم که در کنار نهرها می روید (صح- اس),خدای می فرماید (ذَواتَیْ أُکُلٍ خَمْطٍ وَ أَثْلٍ وَ شَیْ ءٍ مِنْ سِدْرٍ قَلِیلٍ «1»- 16/ سباء) أثل درختی است که ریشه محکم دارد و عبارت- شجر متأثّل- درختیست که ریشه اش ثابت و استوار است و- تأثّل کذا ریشه اش ثابت شد. پیامبر صلّی اللّه علیه و آله در باره صفت جانشین می فرماید: «غیر متأثّل مالا» یعنی جانشین و وصیّ او نبایستی شیفته و مفتون مال و ثروت باشد، نباید حبّ دنیا در جان او ریشه داشته و نیز نباید مال اندوز باشد. واژه- تأثّل- بطور استعاره نیز به کار می رود چنانکه گویند- نحتّ أثلته او را غیبت کردی و به نرمی تضعیفش نمودی.,أثل
