"در آرامش انسان‌ها نقش ایمان به وجود الله سبحانه و تعالی و دخالت وی در زندگی از اهمیت فراوان برخوردار است که باتأسف این آرامش در زندگی دیگر مردمان جهان به ویژه در عصر مدرن اصلاً دیده نمی‌شود. اسلام منحیث برنامهٔ زندگی و دارای پیام سلامتی طوری روان انسان را شاد و امیدبخش نگه می‌دارد که دنیا را منحیث یک فرصت برای کسب رضایت ‌الله سبحانه و تعالی دانسته و طبق این برنامه که سازگار با عقل و فطرت انسانی‌ست، همه امور دنیای خویش را تنظیم می‌کند. گذشته از آن به سؤال‌های اساسی انسان جواب داده و هدف از خلقت را واضحاً بیان می‌کند.
بنأً یگانه کلید نجات و سعادت واقعی انسان، چنگ زدن به اسلام منحیث یگانه راه‌حل مشکلات انسانی است و بس. این واقعیت انکارناپذیر مانند آفتاب روشن و تابان است و نور آن ولو با هر قدر کوشش‌ها پنهان‌شدنی نیست.
امروزه اسلام منحیث نظام زندگی که در تمام ابعاد زندگی بشر حاکم و تطبیق شود نیاز به نصرت و حمایت مادی دارد.
تصور کنید روزی را که با حاکمیت و اظهار اسلام یعنی غالب شدن این دین راستین و حق، دیگر بشریت با آرامش واقعی زندگی خود را به پیش برند و خبری از خودکشی در میان انسان‌ها نباشد. 

‏ الَّذِينَ آمَنُواْ وَتَطْمَئِنُّ قُلُوبُهُم بِذِكْرِ اللّهِ أَلاَ بِذِكْرِ اللّهِ تَطْمَئِنُّ الْقُلُوبُ ‏
‏آن كساني كه ايمان مي‌آورند و دل‌هايشان با ياد خدا سكون و آرامش پيدا مي‌كند. هان! دل‌ها با ياد خدا آرام مي‌گيرند (و از تذكّر عظمت و قدرت خدا و انجام عبادت و كسب رضايت الله اطمينان پيدا مي‌كنند). [سوره الرعد: ۲۸]",اسلام برنامهٔ کامل زندگی!
"الله سبحانه وتعالی روش زندگی را که برای انسان‌ها انتخاب نموده، سلامتی نام‌گذاری کرده است! 
﴿إِنَّ الدِّينَ عِندَ اللَّهِ الْإِسْلَامُ...﴾
[آل‌عمران:١٩] 
ترجمه:
به راستی که دین(روش زندگی پسندیده) نزد الله اسلام است. 
اسلام از ریشه {سَ‌لَ‌مَ} گرفته‌شده است که کلمات همچون: سلام، اسلام، تسلیم، سلیم ، سالم ... و غیره از عین ریشه و معنی گرفته شده است، اما خود کلمه سَ‌لَ‌مَ به معنی سالم بودن از بیماری‌های ظاهری و باطنی و یا امراض جسمی و روحی است. 
منبع: (المفردات فی غریب القرآن الراغب اصفهانی) 
پس اسلام به معنی سالم بودن و در سلامت قرار داشتن است، البته این سلامتی بعد از تسلیمی است.
اسلام یعنی سلامتی دنیا و آخرت.
سلامتی دنیا یعنی: سلامتی از دید مادی و معنوی 
سلامتی آخرت یعنی: سلامتی در قبر، حشر و جنت.
اسلام تسلیمی به جبر و اکراه نیست؛ بلکه تسلیمی است که فرد مؤمن با رضایت، رغبت و شوق خود به آن تلاش می‌کند و باعث سلامتی دنیا و آخرتش می‌شود. 
تا اینجا واضح شد که اسلام برنامۀ کامل زندگی و بهترین روش زندگی برای انسان‌هاست؛ مشروط بر اینکه پس از فهم دقیق آن توسط یک دولت تطبیق گردد تا سلامتی‌اش در عمل برای انسان‌ها ثابت شود. پس عالی‏ترین مظهر پیام سلامتی اسلام در تطبیق کامل و همه‌جانبه آن نهفته است؛ یعنی اگر اسلام در بُعد اقتصادی، سیاسی، اجتماعی، تعلیمی و سایر عرصه‌های زندگی تطبیق نگردد، مفهوم سلامتی اسلام به شکل درست درک نمی‌شود. زیرا اسلام مجموعه‌ای از احکام و ارزش‌ها برای تنظیم زندگی انسان‌ است و این احکام و ارزش‌ها میان هم رابطه دارند؛ رابطۀ مستحکم و ناگسستنی. پس برای دستیابی به پیام سلامتی اسلام نمی‏توان برخی احکام و ارزش‌هایش را در جامعه تطبیق کرد و از بخش دیگری آن بنابر مصلحت‌ها و یا مجبوریت‌ها چشم‌پوشی نمود",اسلام سلامتی دنیا و آخرت
دوره حاکمیت اسلام در دنیا همواره چون یک ستاره درخشان در افق تاریخ ملت‌ها و دولت‌ها برجسته بود. این دوره‌ از مودت، برادری، امنیت، آسایش، آزادی و حقوق بشر، به ویژه عزت و افتخار برای امت اسلامی بهره‌مند بودند. این ادوار با شکوه، نمادی از تبلور مجد و کرامت انسانی بود، جایی‌که از یهود و نصارا گرفته تا غلامان و بردگان همگان دارای حقوق انسانی عادلانه بودند.,دورانی که اسلام پیام سلامتی راحمل می‌کرد!
"دشمنان مکار آگاهانه و شعوری نمی‌خواهند تا نظام اسلام منحیث الگو در جهان تطبیق و حاکم گردد، زیرا ترس آن‌ها از اینست که مبادا بار دیگر اسلام و مسلمانان اسوه‌ای برای دیگر ملت‌ها گردند. از همین رو هوشیارانه و آگاهانه، شب و روز در تلاش‌اند تا در هر کجایی از کرۀ خاکی حتی دورافتاده‌ترین دهکده‌ها را مورد هجوم نظامی، رسانه‌ای، اقتصادی و فرهنگی خویش قرار دهند تا از این امر ممانعت کنند. این است واقعیت و اساس نظام‌های پوچ غربی و بشری.
در حقیقت این تنها نظام اسلام است که توانایی رهبری تمام ملت‌ها را داشته و عدالت، امنیت، اقتصاد سالم و دایم و رشد معنوی ملت‌ها را در اساس برنامه‌های خود قرار داده‌است.
با این حال بر مسلمانان است که اسلام را منحیث الگو و اسوۀ زندگی برای تمام ملت‌ها پیشکش کنند، هر چند دشمنان الله و رسولش ناراض بوده یا کراهت داشته باشند.",دشمنان الله و رسول نمی‌خواهند بار دیگر اسلام اسوۀ زندگی ملت‌ها گردد!
"پیامبر اکرم(ﷺ)  در اولین اقدام  به دستور الله سبحانه‌ وتعالی خویشاوندان خویش را به‌دور خود جمع نموده و از آن‌هاخواستار یاری و پذیرش اسلام شد. همه سکوت را اختیار نموده به جزء ابولهب که رسول الله را منت نموده و خواستار توقف این عمل‌اش گردید.
رسول الله (ﷺ)  برای دعوت اهل مکه و آشکار‌نمودن ایدیولوژی اسلام بر فراز کوه صفا ایستاده و تک تک قبایل عرب را فراخواند. همۀ مردم سکوت اختیار کردند به جزء ابولهب که به پیامبر(ﷺ) توهین نمود و چون مراسم حج نزدیک شده بود سران قریش از رسیدن پیام حق به نماینده‌گان اعراب در مراسم حج هراس داشتند و از ولید بن مغیره که یکی از شاعران زبر دست بود برای مانع شدن پیامبر(ﷺ)  مشوره گرفتند و او چنین مشوره داد که به نماینده‌گان قبایل عرب، رسول الله(ﷺ)  را منحیث ساحری با سخنان سحرآمیز معرفی کنید. ولی با آن همه تلاش، باز هم پیامبر(ﷺ)  حجاج را دعوت نموده و آوازۀ ایدیولوژی‌اش بر تمام جزیرۀ عرب پیچید. لازم به ذکر است که رسول الله (ﷺ)   قبل از تأسیس دولت در مدینه  بارها مورد شکنجه، ضرب و شتم، تحریم و آزارهای مختلف قرار گرفت، ولی از رساندن حق دست بردار نشد.
رسول الله (ﷺ)  در تلاش برای ایجاد دولت اسلامی بارها با افرادی همانند ابولهب، ابوجهل، ولید و غیره مواجه شد ولی از رساندن پیام حق دست نکشید و این درس بزرگی‌ست برای ما که وارثان دین اسلام و حاملان این ایدیولوژی بر حق هستیم زیرا امروزه بسا افرادی همانند ابو لهب و ولید اند که با استفاده از اسالیب مختلف مخصوصاً رسانه‌ها، بر ضد دعوت‌گران تبلیغ به‌راه انداخته و بحث اسلام‌هراسی را ترویج می‌دهند.","سلسلهٔ درس‌هایی از پیامبر اسلام (ﷺ) 

شماره نخست: در تلاش برای ایجاد دولت!"
"رسول الله (ﷺ) بعد از این‌که به پیامبری مبعوث شد باید ایدیولوژی خویش را برای هدایت افراد در میان می‌گذاشت اما از آن‌جایی‌که مردم مکه، مردمی خشک، که جزء عبادت بت‌ها دیگر دینی را نشناخته‌ و دلیلی جز میراث نیاکان‌شان نداشتند و اخلاق‌شان جز غرور و تکبر نبود و مشکلات را به غیر ضربۀ شمشیر توسط چیز دیگری حل نمی‌کردند، بدین لحاظ دعوت را به گونۀ مخفی آغاز کردند. از جمله کسانی که به اسلام روی آوردند بر دیگران پیشی گرفتند یعنی از جملۀ «السابقون الاولون» شدند که عبارت از بی‌بی خدیجه، زید بن حارث، علی بن ابی‌طالب و دوست صمیمی‌شان ابوبکر صدیق رضی الله وعنهما بودند.
این در حالی‌ست که امروزه  با بی‌میلی شدید نسبت به دعوت به سوی اسلام و حتی انجام فریضۀ امر به معروف و نهی از منکر با متأثر‌‌شدن از تبلیغات و اصطلاح‌گذاری‌های سکولران و حاملین ایدیولوژی سرمایه‌داری - دیموکراسی تحت عناوینی هم‎چون (افراطی، آخوند، ملا، تروریست، تندرو و غیره) مواجه هستیم. تا جایی‌که حتی متوجه انجام اعمال حرام از طرف خود و اطرافیان خویش نمی‌شویم در حالی‌که از جمله وارثان حمل دعوت رسول‌الله (ﷺ) همانا امت وی که عبارت از یک‌ونیم ملیارد مسلمان است‌، می‌باشیم.","سلسلهٔ درس‌هایی از پیامبر اسلام (ﷺ) 

بخش دوم : در تلاش برای ایجاد دولت!"
"الله سبحانه‌ و تعالی به رسول الله (ﷺ) هفت فرزند اعطا نمود که شامل سه پسر (قاسم، عبدالله و ابراهیم) و چهار دختر (زینب، رقیه، ام‌کلثوم و فاطمه رضی الله عنهما) بودند. پسرانشان همه در طفولیت وفات کردند اما دختران همه‌گی به بزرگ‌سالی رسیده، اسلام را دریافتند و هجرت نمودند، ولی همه به جزء بی‌بی فاطمه رضی الله عنها قبل از وفات ایشان، به رحمت حق پیوستند.                                                                                                         تحت فشار ایدیولوژی حاکم (سرمایه داری) پدری را تصور کنید که بعد از به دنیا آمدن هفت فرزند شاهد مرگ 6 تن از آن‌ها باشد ولی آن‌چنان با عزم راسخ به پیش برود که مثال آن‌ در تاریخ تکرارناشدنی باشد. 
همین‌طور پیامبر اسلام (ﷺ) کودکان را دوست می‌داشت و با آن‌ها مهربان بود و بازی می‌کرد. چنانچه به امت خود چنین توصیه کرده‌اند: ترجمه: «از حضرت انس (رض) روایت است، که رسول (ﷺ) فرمودند: هر عملی با رسیدن به نزد اللّٰه با حجاب مواجه می‌شود، مگر گفتن لا اله الا اللّٰه و دعای پدر  برای فرزند که بین آن دو و اللّٰه هیچ حجابی نیست.» (ابن ماجه)
اما افسوس که نظام سرمایه‌داری حبِّ بی‌جا و بی‌مورد اولاد را در دل پدر و مادر آن‌قدر زیاد ساخته که حتی حاضر به بیدارنمودنش برای ادای نماز صبح نیستند، چه رسد به این‌که بعد از مرگ فرزندانش خویش برای حمل ایدیولوژی خود ثابت و استوار بماند.
خطاب به افرادی که به سبب خشونت و مفاهیم غلط با کودکان خود بدرفتار بوده و از مهر‌‌ورزیدن و کمک با همسر برای بزرگ و درست تربیت‌نمودن کودکان خویش امتناع می‌ورزند این حدیث را نقل می‌کنیم: از حضرت عایشه رضی الله و تعالی عنها روایت است که فرمود: «گروهی از بادیه‌نشینان نزد رسول الله (ﷺ)  آمدند و گفتند آیا صورت فرزندان تان را بوسه می‌زنید؟ پیامبرﷺ  فرمود: بلی. گفتند: ولی ما نمی‌بوسیم. آن حضرت (ﷺ) فرمود: وقتی الله سبحانه و تعالی مِهر را از دل تان بیرون کرده باشد از من چه کاری ساخته است!
 (متفق علیه)                  ","مختصر درس‌هایی از سیرت پیامبر اسلام (ﷺ) 

بخش سوم: در فرزندداری و رفتار نیکو با کودکان"
"رسول‌ الله (ﷺ) در سن 25 سالگی همراه با خدیجه بنت خویلد رضی‌الله عنها ازدواج کرد. حضرت بی‌بی‌خدیجه رحمةالله ‌علیها در آن زمان 40 سال سن داشت. زنی تاجر، با شرافت و ثروت‌مند بود. ایشان از صداقت و امانتداری آن حضرت و اخلاق نیکوی‌شان خشنود گردیده و مشتاق ازدواج با پیامبر (ﷺ) گردیدند. رسول‌الله (ﷺ)  کاکاهای‌شان را نزد کاکای بی‌بی‌خدیجه رضی الله عنها برای خواستگاری فرستاده و با ایشان ازدواج نمود. روزگاری که در تمام فرهنگ‌های اقوام و ملل جهان «زن» به عنوان «موجود پست» و انسان درجه‌دوم مطرح بود و مورد بدبینی‌ها و آماج تهمت‌ها قرار داشت. هیچ روزنه‌ای بر اُفق زنده‌گی زنان روشنایی نمی‌تابید. تا این‌که خورشید اسلام طلوع نمود و افق زند‌گی‌شان را روشن نمود و ندای عطوفت‌آمیز پیغمبرِ رحمت، محمد (ﷺ)  آرامش و عزت را برای زن به ارمغان آورد. ایشان (ﷺ) موقعیت مهم زن در اجتماع بشری، جایگاه بلند و استعدادهای فراوانی را که خالق بشر در وجود زن قرار داده است، گوش‌زد و آیاتی از قرآن‌کریم را در رابطه به مقام زن برای مردم بیان نمودند.
رسول الله (ﷺ)  در این باره می‌فرماید: «بهترین شما بهتر بر اهل‌اش (فامیل خود) است و من بهترین شما برای اهل خویشم.» (رواهُ ترمذی)
این در حالی‌است، که جوانان امروزی با متأثرشدن از فحشا که جز لاینفک دموکراسی است یا از ازدواج دوری جسته و دنبال فحشا و دوست‌گزینی برای اشباع غریزۀ‌شان‌اند، یا آن‌قدر متأثر از فضای مصرف‌گرایی گشته که این امر را به سخت‌ترین قضیه در زند‌گی تبدیل نموده‌اند.
باتأسف در  بخش همسر‌داری با داشتن فرهنگ تعصب و غیرشرعی با زنان خود بدرفتاری می‌نمایند. تا جایی که رفتار خشن با خانواده (با وجود داشتن امکانات مادی)، نفقۀ بسیار اندک، مسکن نامناسب، کمک نکردن در امور منزل و هم‌چنان  آن‌ها را مجبور به امرار معاش، می‌نمایند.","مختصر درس‌هایی از سیرت پیامبر اسلام (ﷺ) 

بخش پنجم: در ازدواج و همسر‌داری"
"بشر همواره جهت رهنمونی و رهیابی ضرورت به پیامبرانی داشتند که ارتباط شان را به خالق شان برقرار نموده و پیام الهی که مبنی بر هدف زندگی می‌باشد برای شان نیاز به ضرورت و زمان، رسانیده اند. ورنه بشر نمی‌توانست با استعداد بشری‌اش همواره جانب حق را گرفته رستگار شود.

اسلام منحیث آخرین دین و آیین زندگی برای بشر فرستاده شد تا بشر را از غفلت و گمراهی به سوی وحدانیت و حقانیت تغییر مسیر دهد و برای بشر نظام‌های زندگی شان را که در برگیرنده اجتماع، اقتصاد، سیاست و تعلیم وتربیه می‌باشد عرضه داشته و نظام‌های قبلی شان را به چالش کشید و راه‌های حل اسلام، پسندیده و قابل قبول برای مردم واقع شد.",اسلام فقط لقب نیست؛ نظام کامل برای زندگیست!
"در گذشته صحابهٔ کرام زمان مشغولیت خوردن خرما را مانع رفتن به جنت دانسته آن را به زمین می‌انداختند و به رفتن به سوی معرکه می‌شتافتند و برخی راه الله را به شب زفاف ترجیح می‌دادند. چون آن زمان اسلام حاکم بود و در دل مسلمین حُب دنیا جای نگرفته بود.

با تأسف امروزه در اثر حاکمیت نظام سرمایه‌داری و عدم حاکمیت اسلام، حُب دنیا در دل‌های ما مسلمانان جای گرفته‌است. از طرف دیگر حاکمیت دولت_ملت و موجودیت مرزهای استعماری، ما را به حدی محدود ساخته که اگر گاهی بخواهیم در قبال دیگر مسلمانان مانند اهل غزه کاری انجام دهیم، نمی‌توانیم! چون ما مسلمانان حیرت‌زده و سردرگُم شده‌ایم.",مسلمانانِ حیرت‌زده و سردرگم
